Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Liberia,Africa,5916,116.971,72,1.424,72,287,5.675,0,0,0
Bermuda,Americas,5815,9337.915,47,75.474,0,106,170.218,0,0,0
Saint Vincent and the Grenadines,Americas,5758,5190.193,36,32.45,0,77,69.407,0,0,0
Chad,Africa,5703,34.72,0,0,0,181,1.102,0,0,0
Liechtenstein,Europe,5703,14718.559,188,485.199,0,67,172.917,1,2.581,0
Guernsey,Europe,5549,8607.371,399,618.912,0,23,35.677,0,0,0
Faroe Islands,Europe,4735,9689.962,363,742.863,35,13,26.604,0,0,0
Comoros,Africa,4667,536.683,98,11.27,18,151,17.364,1,0.115,1
Sint Maarten,Americas,4664,10876.358,40,93.279,0,75,174.899,0,0,0
Monaco,Europe,4406,11227.194,312,795.026,20,37,94.282,1,2.548,1
Antigua and Barbuda,Americas,4198,4286.779,36,36.761,0,117,119.474,0,0,0
Saint Martin,Americas,4059,10499.496,0,0,0,38,98.295,0,0,0
Sao Tome and Principe,Africa,3735,1704.242,2,0.913,0,57,26.009,0,0,0
Turks and Caicos Islands,Americas,3163,8169.327,26,67.152,0,25,64.569,0,0,0
Bonaire,Americas,3133,14979.68,66,315.563,0,22,105.188,0,0,0
British Virgin Islands,Americas,2886,9544.598,44,145.517,0,39,128.981,0,0,0
Saint Kitts and Nevis,Americas,2801,5265.829,5,9.4,3,28,52.639,0,0,0
Bhutan,South-East Asia,2657,344.346,8,1.037,0,3,0.389,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,2375,4126.344,467,811.37,0,7,12.162,1,1.737,0
Greenland,Europe,1969,3468.259,138,243.078,0,0,0,0,0,0
Saint Barthélemy,Americas,1683,17025.797,0,0,0,4,40.465,0,0,0
Anguilla,Americas,1592,10611.918,69,459.939,0,4,26.663,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,96,1656.601,1,17.256,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,81,2325.581,1,28.711,0,0,0,0,0,0
Montserrat,Americas,44,880.176,0,0,0,1,20.004,0,0,0
Sint Eustatius,Americas,31,987.576,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,13,672.53,1,51.733,0,0,0,0,0,0
American Samoa,Western Pacific,10,18.117,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,1,0.326,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,2,1.008,1,0.504,0,0,0,0,0,0
Cook Islands,Western Pacific,1,5.693,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
